Tabela,ModelPair,HardDice_Lex_mean,SoftDice_Sem_mean
public.rl_cds_aval_eleg_ad_tipo_inelg,DEEPSEEK__VS__OPENAI,0.37777777777777777,0.7502228220303854
public.rl_cds_aval_eleg_ad_tipo_inelg,MISTRAL__VS__OPENAI,0.3333333333333333,0.8313193255000644
public.rl_cds_aval_eleg_cds_situc_prs,DEEPSEEK__VS__MISTRAL,0.0,0.6156315902868906
public.rl_cds_aval_eleg_cds_situc_prs,DEEPSEEK__VS__OPENAI,0.0,0.6439992354975806
public.rl_cds_aval_eleg_cds_situc_prs,MISTRAL__VS__OPENAI,0.3333333333333333,0.8065621885988448
public.rl_cds_ficha_atend_indivdl_prf,DEEPSEEK__VS__MISTRAL,0.0,0.7222151160240173
public.rl_cds_ficha_atend_indivdl_prf,DEEPSEEK__VS__OPENAI,0.0,0.7765930891036987
public.rl_cds_ficha_atend_indivdl_prf,MISTRAL__VS__OPENAI,0.6666666666666666,0.8480405807495117
public.rl_cds_ficha_atend_odonto_prof,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7938458411781876
public.rl_cds_ficha_atend_odonto_prof,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.8841247492366368
public.rl_cds_ficha_atend_odonto_prof,MISTRAL__VS__OPENAI,0.3333333333333333,0.7966729071405199
public.rl_cds_ficha_ativ_col_pratica,DEEPSEEK__VS__MISTRAL,0.0,0.6302040186193254
public.rl_cds_ficha_ativ_col_pratica,DEEPSEEK__VS__OPENAI,0.0,0.5997697203247635
public.rl_cds_ficha_ativ_col_pratica,MISTRAL__VS__OPENAI,0.0,0.6701884236600664
public.rl_cds_ficha_ativ_col_prof,DEEPSEEK__VS__MISTRAL,0.0,0.569716668791241
public.rl_cds_ficha_ativ_col_prof,DEEPSEEK__VS__OPENAI,0.0,0.5878087282180786
public.rl_cds_ficha_ativ_col_prof,MISTRAL__VS__OPENAI,0.0,0.5336674253145853
public.rl_cds_ficha_ativ_col_pub_alvo,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7275909781455994
public.rl_cds_ficha_ativ_col_pub_alvo,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.7954375147819519
public.rl_cds_ficha_ativ_col_pub_alvo,MISTRAL__VS__OPENAI,0.3333333333333333,0.7234185338020325
public.rl_cds_ficha_ativ_col_tema,DEEPSEEK__VS__MISTRAL,0.0,0.5351910094420115
public.rl_cds_ficha_ativ_col_tema,DEEPSEEK__VS__OPENAI,0.0,0.6667028466860453
